Package ,	License	,Source of License Information,	Comments,	License/Copyright Links/References
ca-certificates-java ,	GPL	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/c/ca-certificates-java/ca-certificates-java_20160321/copyright
cadvisor ,	Apache-2.0	,WICC4D,	NA,	NA
Casandra  ,	Apache-2.0	,WICC4D UI,	NA,	NA
cdbs ,	GPL-2, GPL-3, GAP, Expat	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/c/cdbs/cdbs_0.4.130ubuntu2/copyright
celery  ,	BSD-Equivalent	,WICC4D,	NA,	NA
check ,	LGPL	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/c/check/check_0.10.0-3/copyright
chromedriver-linux ,	BSD-3-Clause	,source code,	https://s3.amazonaws.com/rstudio-buildtools/chromedriver-linux,	https://cs.chromium.org/chromium/src/LICENSE
chromedriver-mac ,	BSD-3-Clause	,source code,	https://s3.amazonaws.com/rstudio-buildtools/chromedriver-mac,	https://cs.chromium.org/chromium/src/LICENSE
chromedriver-win.exe ,	BSD-3-Clause	,source code,	https://s3.amazonaws.com/rstudio-buildtools/chromedriver-win.exe,	https://cs.chromium.org/chromium/src/LICENSE
cmake ,	BSD-3-Clause	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/c/cmake/cmake_3.5.1-1ubuntu1/copyright
cmake-data ,	BSD-3-Clause	,ubuntu.com,	part of cmake,	http://changelogs.ubuntu.com/changelogs/pool/main/c/cmake/cmake_3.5.1-1ubuntu1/copyright
coffeescript ,	  MIT-Equivalent	,WICC4D,	NA,	NA
colord ,	GPL-2.0+, LGPL-2.1+	,ubuntu.com,	Different files are licensed differently. For example: Files: lib/colord/* are under LGPL-2.1+ and so on,	http://changelogs.ubuntu.com/changelogs/pool/main/c/colord/colord_1.2.12-1ubuntu1/copyright
colord-data ,	GPL-2.0+, LGPL-2.1+	,ubuntu.com,	Different files are licensed differently. For example: Files: lib/colord/* are under LGPL-2.1+ and so on,	http://changelogs.ubuntu.com/changelogs/pool/main/c/colord/colord_1.2.12-1ubuntu1/copyright
comerr-dev ,	BSD-3	,WICC4D,	part of e2fsprogs,	NA
consul ,	MPL-2.0	,WICC4D UI,	NA,	NA
core-dictionaries.zip ,	LGPL	,source code,	https://s3.amazonaws.com/rstudio-dictionaries/core-dictionaries.zip,	Extracted directly from the ZIP archive
corosync ,	BSD-4-Clause-UC	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/c/corosync/corosync_2.3.5-3ubuntu1/copyright
couchdb ,	Apache-2.0	,WICC4D,	NA,	NA
couchdb-bin ,	Apache-2.0	,WICC4D,	NA,	NA
couchdb-common ,	Apache-2.0	,WICC4D,	NA,	NA
cpio ,	GPL-2	,WICC4D,	NA,	NA
cpp ,	GPL-2+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/g/gcc-defaults/gcc-defaults_1.150ubuntu1/copyright
cpp-4.8 ,	GPL-3	,ubuntu.com,	part of gcc,	http://changelogs.ubuntu.com/changelogs/pool/universe/g/gcc-4.8/gcc-4.8_4.8.5-4ubuntu2/copyright
cpp-5 ,	GPL-3+	,openhub.net,	Part of gcc-5 - GNU Compiler Collection,	https://www.openhub.net/p/gcc
crate ,	ISC	,openhub.net,	NA,	https://www.openhub.net/p/crate
cron ,	Unique,MIT	,WICC4D,	Latest version is under Unique and older versions are under MIT,	NA
curl ,	MIT	,WICC4D,	Source package curl,	NA
dbus ,	AFL	,WICC4D,	NA,	NA
dbus-x11 ,	AFL	,WICC4D,	Source package dbus,	NA
dconf-gsettings-backend ,	LGPL-2.1+, GPL-3+	,ubuntu.com,	Different files are licensed differently. For example: Files: * are LGPL-2 while Files: dbus-1/dconf-dbus-1.* are GPL-3+,	http://changelogs.ubuntu.com/changelogs/pool/main/d/d-conf/d-conf_0.24.0-2/copyright
dconf-service ,	LGPL-2.1+, GPL-3+	,ubuntu.com,	Different files are licensed differently. For example: Files: * are LGPL-2 while Files: dbus-1/dconf-dbus-1.* are GPL-3+,	http://changelogs.ubuntu.com/changelogs/pool/main/d/d-conf/d-conf_0.24.0-2/copyright
debhelper ,	GPL-2, GPL-3	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/d/debhelper/debhelper_9.20160115ubuntu3/copyright
default-jre-headless ,	GPL-2+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/j/java-common/java-common_0.56ubuntu2/copyright
dh-apparmor ,	GPL-2	,WICC4D,	part of apparmor,	NA
dh-python ,	Expat	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/d/dh-python/dh-python_2.20151103ubuntu1/copyright
dh-translations ,	GPL-2	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/p/pkgbinarymangler/pkgbinarymangler_129/copyright
docker-engine ,	Apache-2.0	,Source Code,	NA,	https://github.com/docker/engine-api/blob/master/LICENSE
docutils-common ,	GPL-3.0	,WICC4D,	part of docutils,	NA
dpkg-dev ,	GPL-2+, GPL-2, BSD-2-clause, public-domain-s-s-d, public-domain-md5	,ubuntu.com,	Most of the files are license under GPL-2+, however there are some exceptions Example    Files: scripts/Dpkg/Gettext.pm is avialable under BSD-2-clause, Files:  utils/start-stop-daemon.c under public-domain-s-s-d and so on,	http://changelogs.ubuntu.com/changelogs/pool/main/d/dpkg/dpkg_1.18.4ubuntu1/copyright
dumb-init ,	MIT-Equivalent	,WICC4D UI,	NA,	NA
elasticsearch ,	Apache-2.0	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/e/elasticsearch/elasticsearch_1.7.3+dfsg-3/copyright
erlang-asn1 ,	Apache-2.0	,WICC4D,	NA,	NA
erlang-base ,	Apache-2.0	,WICC4D,	NA,	NA
erlang-base-hipe ,	Apache-2.0	,WICC4D,	NA,	NA
erlang-corba ,	Apache-2.0	,WICC4D,	NA,	NA
erlang-crypto ,	Apache-2.0	,WICC4D,	NA,	NA
erlang-dev ,	Apache-2.0	,WICC4D,	NA,	NA
erlang-diameter ,	Apache-2.0	,WICC4D,	NA,	NA
erlang-edoc ,	Apache-2.0	,WICC4D,	NA,	NA
erlang-eldap ,	Apache-2.0	,WICC4D,	NA,	NA
erlang-erl-docgen ,	Apache-2.0	,WICC4D,	NA,	NA
erlang-eunit ,	Apache-2.0	,WICC4D,	NA,	NA
erlang-ic ,	Apache-2.0	,WICC4D,	NA,	NA
erlang-inets ,	Apache-2.0	,WICC4D,	NA,	NA
erlang-mnesia ,	Apache-2.0	,WICC4D,	These all packages belongs to "erlang" family,	NA
erlang-nox ,	Apache-2.0	,WICC4D,	NA,	NA
erlang-odbc ,	Apache-2.0	,WICC4D,	NA,	NA
erlang-os-mon ,	Apache-2.0	,WICC4D,	NA,	NA
erlang-parsetools ,	Apache-2.0	,WICC4D,	NA,	NA
erlang-percept ,	Apache-2.0	,WICC4D,	NA,	NA
erlang-public-key ,	Apache-2.0	,WICC4D,	NA,	NA
erlang-reltool ,	Apache-2.0	,WICC4D,	NA,	NA
erlang-runtime-tools ,	Apache-2.0	,WICC4D,	NA,	NA
erlang-snmp ,	Apache-2.0	,WICC4D,	NA,	NA
erlang-ssh ,	Apache-2.0	,WICC4D,	NA,	NA
erlang-ssl ,	Apache-2.0	,WICC4D,	NA,	NA
erlang-syntax-tools ,	Apache-2.0	,WICC4D,	NA,	NA
erlang-tools ,	Apache-2.0	,WICC4D,	NA,	NA
erlang-webtool ,	Apache-2.0	,WICC4D,	NA,	NA
erlang-wx ,	Apache-2.0	,WICC4D,	NA,	NA
erlang-xmerl ,	Apache-2.0	,WICC4D,	NA,	NA
es6-promise ,	MIT-Equivalent	,WICC4D,	NA,	NA
es6-shim ,	MIT-Equivalent	,WICC4D,	NA,	NA
eventemitter3 ,	MIT-Equivalent	,WICC4D,	NA,	NA
expect.js ,	MIT-Equivalent	,WICC4D,	NA,	NA
fakeroot ,	GPL-2+	,WICC4D,	NA,	NA
file ,	BSD-3-Clause	,NA,	NA,	NA
fontconfig ,	Webware Python	,WICC4D,	NA,	NA
fontconfig-config ,	Webware Python	,WICC4D,	part of fontconfig,	NA
fonts-dejavu-core ,	bitstream-vera, GPL-2+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/f/fonts-dejavu/fonts-dejavu_2.35-1/copyright
fonts-dejavu-extra ,	bitstream-vera, GPL-2+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/f/fonts-dejavu/fonts-dejavu_2.35-1/copyright
fonts-lato ,	OFL-1.1, GPL-2+	,ubuntu.com,	NA,	http://packages.ubuntu.com/xenial/all/fonts-lato/filelist
freeglut3 ,	X-Consortium	,source code,	NA,	http://freeglut.sourceforge.net/
freeglut3-dev ,	X-Consortium	,source code,	part of freeglut,	http://freeglut.sourceforge.net/
funcsigs ,	Apache 2.0	,WICC4D ,	NA,	NA
g++ ,	GPL-2+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/g/gcc-defaults/gcc-defaults_1.150ubuntu1/copyright
g++-4.8 ,	GPL-3	,WICC4D,	part of gcc,	NA
g++-5 ,	GPL-3+	,openhub.net,	Part of gcc-5 - GNU Compiler Collection,	https://www.openhub.net/p/gcc
gaze ,	MIT-Equivalent	,WICC4D,	NA,	NA
gcc ,	GPL-2+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/g/gcc-defaults/gcc-defaults_1.150ubuntu1/copyright
gcc-5 ,	GPL-3+	,openhub.net,	NA,	https://www.openhub.net/p/gcc
gconf2 ,	LGPL-2+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/g/gconf/gconf_3.2.6-3ubuntu6/copyright
gconf2-common ,	LGPL-2+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/g/gconf/gconf_3.2.6-3ubuntu6/copyright
gconf-service ,	LGPL-2+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/g/gconf/gconf_3.2.6-3ubuntu6/copyright
gconf-service-backend ,	LGPL-2+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/g/gconf/gconf_3.2.6-3ubuntu6/copyright
gd ,	BSD-Equivalent 	,WICC4D,	gdal on WICC4D,	NA
geode ,	Apache-2.0, MIT, BSD 3-Clause, MX4J License	,github.com,	NA,	https://github.com/apache/geode/blob/develop/LICENSE
geoip-bin ,	LGPL-2.1, MIT-Equivalent	,WICC4D UI,	Source package geoip,	NA
geoip-database ,	LGPL-2.1, MIT-Equivalent	,WICC4D UI,	Source package geoip,	NA
gettext ,	Ruby	,WICC4D,	NA,	NA
gettext-base ,	Ruby	,WICC4D,	part of gettext,	NA
gfortran ,	GPL-3	,WICC4D,	part of gcc,	NA
gfortran-4.8 ,	GPL-3	,WICC4D,	part of gcc,	NA
ghc ,	GHC, BSD-3-Clause	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/g/ghc/ghc_7.10.3-7/copyright
ghc-haddock ,	GHC, BSD-3-Clause	,ubuntu.com,	part of ghc,	http://changelogs.ubuntu.com/changelogs/pool/universe/g/ghc/ghc_7.10.3-7/copyright
ghost ,	MIT	,openhub.net,	NA,	https://www.openhub.net/p?ref=homepage&query=ghost
ghostscript ,	GPL-2+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/g/ghostscript/ghostscript_9.18~dfsg~0-0ubuntu2/copyright
gin-1.5 ,	Apache-2.0	,source code,	https://s3.amazonaws.com/rstudio-buildtools/gin-1.5.zip,	https://mvnrepository.com/artifact/com.google.gwt.inject/gin/1.5.0
gir1.2-freedesktop ,	GPL-2, LGPL-2	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/g/gobject-introspection/gobject-introspection_1.46.0-3ubuntu1/copyright
gir1.2-gdkpixbuf ,	 GPL-2.0	,WICC4D,	part of gdk-pixbuf,	NA
gir1.2-glib-2.0 ,	LGPL-2.1	,WICC4D,	part of gobject-introspection,	NA
gir1.2-pango-1.0 ,	LGPL-2	,WICC4D,	part of pango,	NA
gir1.2-rsvg-2.0 ,	LGPL-2.0+, GPL-2.0+	,debian.org,	part of libsrvg,	http://metadata.ftp-master.debian.org/changelogs/main/libr/librsvg/librsvg_2.40.5-1+deb8u2_copyright
git ,	GPL-2	,WICC4D,	NA,	NA
git-man ,	GPL-2.0, MIT 	,WICC4D,	part of git,	NA
glib-networking ,	LGPL-2+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/g/glib-networking/glib-networking_2.48.0-1/copyright
glib-networking-common ,	LGPL-2+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/g/glib-networking/glib-networking_2.48.0-1/copyright
glib-networking-services ,	LGPL-2+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/g/glib-networking/glib-networking_2.48.0-1/copyright
glob ,	MIT-Equivalent	,WICC4D,	NA,	NA
go ,	BSD-Equivalent, Google Patents file	,WICC4D,	NA,	NA
go1.8.1 ,	BSD-Equivalent	,WICC4D UI,	Source Package go,	NA
godep ,	BSD-Equivalent	,WICC4D,	NA,	NA
golang ,	BSD-Equivalent	,WICC4D,	NA,	NA
gosu ,	GPL-3+	,debian.org,	NA,	http://metadata.ftp-master.debian.org/changelogs/main/g/gosu/gosu_1.10-1~bpo8+1_copyright
grafana ,	Apache-2.0	,WICC4D,	NA,	NA
graphviz ,	EPL-1.0 ,MIT	,WICC4D,	NA,	NA
groff ,	GPL-2+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/g/groff/groff_1.22.3-7/copyright
groff-base ,	GPL-3	,WICC4D,	part of groff,	NA
groovy2 ,	Apache-2.0	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/g/groovy2/groovy2_2.4.5-1/copyright
grunt ,	MIT-Equivalent	,WICC4D,	NA,	NA
grunt-angular-templates ,	MIT-Equivalent	,WICC4D,	NA,	NA
grunt-cli ,	MIT-Equivalent	,WICC4D,	NA,	NA
grunt-contrib-clean ,	MIT-Equivalent	,WICC4D,	NA,	NA
grunt-contrib-compress ,	MIT-Equivalent	,WICC4D,	NA,	NA
grunt-contrib-concat ,	MIT-Equivalent	,WICC4D,	NA,	NA
grunt-contrib-copy ,	MIT-Equivalent	,WICC4D,	NA,	NA
grunt-contrib-cssmin ,	MIT-Equivalent	,WICC4D,	NA,	NA
grunt-contrib-htmlmin ,	MIT-Equivalent	,WICC4D,	NA,	NA
grunt-contrib-jshint ,	MIT-Equivalent	,WICC4D,	NA,	NA
grunt-exec ,	MIT	,npmjs.com,	NA,	https://www.npmjs.com/package/grunt-exec
grunt-filerev ,	BSD-Equivalent	,WICC4D,	NA,	NA
grunt-jscs ,	MIT-Equivalent	,WICC4D,	NA,	NA
grunt-karma ,	MIT-Equivalent	,WICC4D,	NA,	NA
grunt-ng-annotate ,	MIT-Equivalent	,WICC4D,	NA,	NA
grunt-notify ,	MIT	,npmjs.com,	NA,	https://www.npmjs.com/package/grunt-notify
grunt-postcss ,	MIT	,npmjs.com,	NA,	https://www.npmjs.com/package/grunt-postcss
grunt-sass ,	MIT-Equivalent	,WICC4D,	NA,	NA
grunt-sass-lint ,	MIT	,npmjs.com,	NA,	https://www.npmjs.com/package/grunt-sass-lint
grunt-string-replace ,	MIT	,npmjs.com,	NA,	https://www.npmjs.com/package/grunt-string-replace
grunt-sync ,	MIT-Equivalent	,WICC4D,	NA,	NA
grunt-systemjs-builder ,	MIT	,npmjs.com,	NA,	https://www.npmjs.com/package/grunt-systemjs-builder
grunt-usemin ,	BSD-Equivalent	,WICC4D,	NA,	NA
gsettings-desktop-schemas ,	LGPL-2.1+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/g/gsettings-desktop-schemas/gsettings-desktop-schemas_3.18.1-1ubuntu1/copyright
gsfonts ,	GPL	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/g/gsfonts/gsfonts_8.11+urwcyr1.0.7~pre44-4.2ubuntu1/copyright
gwt-2.7.0 ,	Apache-2.0	,source code,	https://s3.amazonaws.com/rstudio-buildtools/gwt-2.7.0.zip,	http://www.gwtproject.org/versions.html
gyp ,	BSD-3-Clause	,ubuntu.com,	NA,	http://packages.ubuntu.com/xenial/all/gyp/filelist
happy ,	GHC	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/happy/happy_1.19.5-5/copyright
haskell-platform ,	GHC	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-platform/haskell-platform_2014.2.0.0.debian2/copyright
hdf5-helpers ,	GPL -2, BSD-Equivalent	,WICC4D UI,	Source Package HDF5,	NA
hdf5-helpers  ,	GPL-2.0	,WICC4D,	NA,	NA
hicolor-icon-theme ,	GPL-2+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/h/hicolor-icon-theme/hicolor-icon-theme_0.15-0ubuntu1/copyright
html5lib ,	MIT-Equivalent	,WICC4D ,	NA,	NA
humanity-icon-theme ,	GPL v2, CC-by-SA, CC-by-SA,    LGPL 3+, MPL 1.1, CC-by-SA 3.0 	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/h/humanity-icon-theme/humanity-icon-theme_0.6.10/copyright
icu-devtools ,	Unicode	,WICC4D,	part of icu,	NA
ifupdown ,	GPL-2+	,openhub.net,	NA,	https://www.openhub.net/p/ifupdown
imagemagick ,	Apache-2.0	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/i/imagemagick/imagemagick_6.8.9.9-7ubuntu5.1/copyright
imagemagick-6.q16 ,	Apache-2.0	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/i/imagemagick/imagemagick_6.8.9.9-7ubuntu5.1/copyright
imagemagick-common ,	Apache-2.0	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/i/imagemagick/imagemagick_6.8.9.9-7ubuntu5.1/copyright
initramfs-tools ,	GPL-2.0	,openhub.net,	NA,	https://www.openhub.net/p/initramfs-tools
initramfs-tools-bin ,	GPL-2.0	,openhub.net,	NA,	https://www.openhub.net/p/initramfs-tools
initramfs-tools-core ,	GPL-2.0	,openhub.net,	NA,	https://www.openhub.net/p/initramfs-tools
intltool ,	GPL-2	,WICC4D,	NA,	NA
intltool-debian ,	GPL-2	,WICC4D,	part of intltool,	NA
iproute2 ,	GPL-2	,WICC4D,	NA,	NA
iptables ,	GPL-2	,openhub.net,	NA,	https://www.openhub.net/p/iptables
ipykernel ,	BSD-Equivalent	,WICC4D ,	NA,	NA
ipython ,	BSD-Equivalent	,WICC4D ,	NA,	NA
ipywidgets ,	BSD-Equivalent	,WICC4D ,	NA,	NA
isc-dhcp-client ,	ISC	,ubuntu.com,	dhcp shows up on WICC4D as reviewed with license type MIT OR ISC OR MITNFA,	http://changelogs.ubuntu.com/changelogs/pool/main/i/isc-dhcp/isc-dhcp_4.3.3-5ubuntu12/copyright
isc-dhcp-common ,	ISC	,ubuntu.com,	dhcp shows up on WICC4D as reviewed with license type MIT OR ISC OR MITNFA,	http://changelogs.ubuntu.com/changelogs/pool/main/i/isc-dhcp/isc-dhcp_4.3.3-5ubuntu12/copyright
iso-codes ,	LGPL-2.1	,ubuntu.com,	NA,	https://anonscm.debian.org/git/pkg-isocodes/iso-codes.git/tree/COPYING
ivy ,	Apache-2.0	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/i/ivy/ivy_2.4.0-3/copyright
java-common ,	GPL-2+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/j/java-common/java-common_0.56ubuntu2/copyright
javascript-common ,	GPL-2+	,ubuntu.com,	NA,	http://packages.ubuntu.com/xenial/all/javascript-common/filelist
java-wrappers ,	GPL-2.0+, JRL	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/j/java-wrappers/java-wrappers_0.1.28/copyright
jetty ,	Apache-2.0	,WICC4D,	NA,	NA
jquery-file-upload ,	MIT-Equivalent	,WICC4D UI,	NA,	NA
Jruby ,	EPL-1.0,CPL-1.0	,WICC4D,	Versions below 1.0.3 are covered under CPL-1.0,	NA
jruby-openssl ,	EPL-1.0, LGPL-2.1, GPL2	,ubuntu.com,	NA,	http://packages.ubuntu.com/xenial/all/jruby-openssl/filelist
jshint-stylish ,	MIT-Equivalent	,WICC4D,	NA,	NA
junit ,	BSD-4-Clause	,WICC4D,	Earlier versions were under EPL-1.0/CPL-1.0,	http://changelogs.ubuntu.com/changelogs/pool/universe/j/junit/junit_3.8.2-8build1/copyright
junit4 ,	BSD-4-Clause	,WICC4D,	Earlier versions were under EPL-1.0/CPL-1.0,	http://changelogs.ubuntu.com/changelogs/pool/universe/j/junit4/junit4_4.12-4ubuntu1/copyright
junit-4.9b3.jar ,	EPL-1	,source code,	https://s3.amazonaws.com/rstudio-buildtools/junit-4.9b3.jar,	http://junit.org/junit4/license.html
jupyter ,	BSD-Equivalent	,WICC4D ,	NA,	NA
kaazing_gateway ,	Apache-2.0	,Sourcecode,	NA,	https://github.com/kaazing/gateway/blob/develop/LICENSE.txt
karma ,	MIT-Equivalent	,WICC4D,	NA,	NA
karma-chrome-launcher ,	MIT-Equivalent	,WICC4D,	NA,	NA
karma-coverage ,	MIT-Equivalent	,WICC4D,	NA,	NA
karma-expect ,	MIT	,npmjs.com,	NA,	https://www.npmjs.com/package/karma-expect
karma-mocha ,	MIT-Equivalent	,WICC4D,	NA,	NA
karma-phantomjs-launcher ,	MIT-Equivalent	,WICC4D,	NA,	NA
karma-sinon ,	MIT-Equivalent	,WICC4D,	NA,	NA
klibc-utils ,	BSD-3-Clause, GPL-2+	,openhub.net,	NA,	https://www.openhub.net/p/klibc
kmod ,	LGPL-2.1+	,NA,	NA,	NA
kombu ,	BSD-Equivalent	,WICC4D,	NA,	NA
krb5-locales ,	MIT	,WICC4D,	part of krb5,	NA
less ,	LESS	,WICC4D,	NA,	NA
leveldb ,	BSD-Equivalent, MIT-Equivalent, Apache-2.0	,WICC4D UI,	NA,	NA
libalgorithm-diff-perl ,	Artistic or GPL-1	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/liba/libalgorithm-diff-perl/libalgorithm-diff-perl_1.19.03-1/copyright
libalgorithm-diff-xs-perl ,	Artistic or GPL-1	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/liba/libalgorithm-diff-xs-perl/libalgorithm-diff-xs-perl_0.04-4build1/copyright
libalgorithm-merge-perl ,	GPL-1+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/liba/libalgorithm-merge-perl/libalgorithm-merge-perl_0.08-3/copyright
libantlr-java ,	BSD-3-Clause	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/a/antlr/antlr_2.7.7+dfsg-6ubuntu1/copyright
libaopalliance-java ,	public-domain, GPL-2	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/liba/libaopalliance-java/libaopalliance-java_20070526-5/copyright
libapache-pom-java ,	Apache-2.0	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/a/apache-pom/apache-pom_10-2build1/copyright
libapparmor1 ,	GPL-2	,WICC4D,	part of apparmor,	NA
libapparmor-perl ,	GPL-2.0	,WICC4D,	Source package apparmor,	NA
libarchive13 ,	BSD-4-Clause	,WICC4D,	NA,	NA
libart-2.0-2 ,	LGPL	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/liba/libart-lgpl/libart-lgpl_2.3.21-2/copyright
libasan2 ,	GPL-3+	,openhub.net,	Part of gcc-5 - GNU Compiler Collection,	https://www.openhub.net/p/gcc
libasm4-java ,	BSD-3-clause	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/liba/libasm4-java/libasm4-java_5.0.4-1/copyright
libasn1-8-heimdal ,	BSD-3-clause	,WICC4D,	part heimdal kerberos,	NA
libasound2 ,	LGPL-2.1+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/a/alsa-lib/alsa-lib_1.1.0-0ubuntu1/copyright
libasound2-data ,	LGPL-2.1+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/a/alsa-lib/alsa-lib_1.1.0-0ubuntu1/copyright
libasprintf0c2 ,	Ruby	,WICC4D,	part of gettext,	NA
libasyncns0 ,	LGPL-2.1+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/liba/libasyncns/libasyncns_0.8-5build1/copyright
libatinject-jsr330-api-java ,	Apache-2.0	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/a/atinject-jsr330/atinject-jsr330_1.0+ds1-2/copyright
libatk1.0-0 ,	LGPL-2+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/a/atk1.0/atk1.0_2.18.0-1/copyright
libatk1.0-data ,	LGPL-2+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/a/atk1.0/atk1.0_2.18.0-1/copyright
libatk-bridge2.0-0 ,	LGPL-2+, GPL-2	,ubuntu.com,	Different files are licensed differently, mainly under LGPL-2. Files: debian/* are under GPL-2,	http://changelogs.ubuntu.com/changelogs/pool/main/a/at-spi2-atk/at-spi2-atk_2.18.1-2ubuntu1/copyright
libatk-wrapper-java ,	LGPL-2.1+, GPL-3	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/j/java-atk-wrapper/java-atk-wrapper_0.33.3-6/copyright
libatk-wrapper-java-jni ,	LGPL-2.1+, GPL-3	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/j/java-atk-wrapper/java-atk-wrapper_0.33.3-6/copyright
libatlas3-base ,	BSD-Equivalent	,WICC4D UI,	Source Package ATLAS,	NA
libatlas-base-dev ,	BSD-Equivalent	,WICC4D UI,	Source Package ATLAS,	NA
libatlas-dev ,	BSD-Equivalent	,WICC4D UI,	Source Package ATLAS,	NA
libatm1 ,	BSD, GPL-2, LGPL-2	,Source Code,	The package can be distributed or modified under GPL-2, as per the COPYING file. However, different source components/parts of the source code are provided under different licenses. COPYING.GPL and COPYING.LGPL are part of the main source tree,	https://sourceforge.net/projects/linux-atm/
libatomic1 ,	GPL-3+	,openhub.net,	Part of gcc-5 - GNU Compiler Collection,	https://www.openhub.net/p/gcc
libatspi2.0-0 ,	LGPL-2+, Public domain, GPL-2	,ubuntu.com,	Different files are licensed differently. For example: Files: registryd/registry.c are under LGPL-2+, Files: debian/* under GPL-2, Files: registryd/ucs2keysym.c under public-domain,	http://changelogs.ubuntu.com/changelogs/pool/main/a/at-spi2-core/at-spi2-core_2.18.3-4ubuntu1/copyright
libauthen-sasl-perl ,	Artistic or GPL-1	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/liba/libauthen-sasl-perl/libauthen-sasl-perl_2.1600-1/copyright
libavahi-client3 ,	LGPL	,openhub.net,	NA,	https://www.openhub.net/p/avahi/licenses
libavahi-common3 ,	LGPL	,openhub.net,	NA,	https://www.openhub.net/p/avahi/licenses
libavahi-common-data ,	LGPL	,openhub.net,	NA,	https://www.openhub.net/p/avahi/licenses
libavahi-glib1 ,	LGPL	,openhub.net,	NA,	https://www.openhub.net/p/avahi/licenses
